Player,Role,Champion,Pick Ban,Blue Red,Order,Series #,Game #,Kills,Deaths,Assists,CS,Vision Score,Fantasy Score,Damage Dealt
Declan,Mid,Orianna,Pick,Blue,2,9,2,0,5,5,184,30,-1.66,10210
Sam,Support,Nautilus,Pick,Blue,2,9,2,2,7,10,34,88,11.74,6668
Jason,Support,Bard,Pick,Red,2,9,2,3,3,17,41,93,42.06,12560
,,Malphite,Ban,Red,4,9,2,,,,,,0,
,,Mordekaiser,Ban,Blue,4,9,2,,,,,,0,
,,Jax,Ban,Red,5,9,2,,,,,,0,
,,Pantheon,Ban,Blue,5,9,2,,,,,,0,
Jason Canto,Mid,Aurelion Sol,Pick,Red,3,9,2,9,3,9,220,13,47.85,24363
Stephanie,Bottom,Vayne,Pick,Blue,3,9,2,8,5,6,215,21,32.2,23546
Hubert,Top,Shen,Pick,Blue,3,9,2,1,5,6,137,14,3.07,10525
Cobi,Top,Nasus,Pick,Red,4,9,2,4,2,8,197,14,28.67,15948
,,,,,,,,,,,,,,
,,Briar,Ban,Blue,1,10,1,,,,,,0,
,,Blitzcrank,Ban,Red,1,10,1,,,,,,0,
,,Jarvan IV,Ban,Blue,2,10,1,,,,,,0,
,,Singed,Ban,Red,2,10,1,,,,,,0,
,,K'Sante,Ban,Blue,3,10,1,,,,,,0,
,,Garen,Ban,Red,3,10,1,,,,,,0,
Miggy,Support,Seraphine,Pick,Blue,1,10,1,5,11,8,19,32,4.79,8065
Quio,Mid,Orianna,Pick,Red,1,10,1,7,4,11,286,27,42.21,31425
Jason Canto,Bottom,Ezreal,Pick,Red,1,10,1,6,2,12,246,19,45.41,28745
Anthony,Bottom,Jhin,Pick,Blue,2,10,1,2,4,5,283,32,10.43,21647
Jason,Mid,Zed,Pick,Blue,2,10,1,6,3,5,348,38,30.38,26465
Sam,Support,Nautilus,Pick,Red,2,10,1,0,5,15,27,85,19.52,10356
,,Gangplank,Ban,Red,4,10,1,,,,,,0,
,,Kha'zix,Ban,Blue,4,10,1,,,,,,0,
,,Annie,Ban,Red,5,10,1,,,,,,0,
,,Irelia,Ban,Blue,5,10,1,,,,,,0,
Basil,Top,Gnar,Pick,Red,3,10,1,5,5,7,266,24,22.86,27898
Cobi,Top,Malphite,Pick,Blue,3,10,1,4,4,11,205,20,29.05,25172
Woosung,Jungle,Vi,Pick,Blue,3,10,1,3,7,8,210,31,10.65,17899
Wilfred,Jungle,Graves,Pick,Red,4,10,1,11,4,6,273,17,47.58,28598
,,,,,,,,,,,,,,
,,Blitzcrank,Ban,Blue,1,10,2,,,,,,0,
,,Ezreal,Ban,Red,1,10,2,,,,,,0,
,,Singed,Ban,Blue,2,10,2,,,,,,0,
,,Briar,Ban,Red,2,10,2,,,,,,0,
,,Garen,Ban,Blue,3,10,2,,,,,,0,
,,K'Sante,Ban,Red,3,10,2,,,,,,0,
Wilfred,Jungle,Kha'zix,Pick,Blue,1,10,2,6,8,4,303,31,12.58,20614
Anthony,Bottom,Kalista,Pick,Red,1,10,2,19,4,13,271,32,94.31,38152
Woosung,Support,Alistar,Pick,Red,1,10,2,1,5,30,55,102,54.65,10010
Quio,Mid,Syndra,Pick,Blue,2,10,2,13,4,5,296,23,54.11,48342
Sam,Support,Nautilus,Pick,Blue,2,10,2,0,12,8,33,99,-14.72,7406
Miggy,Mid,Malzahar,Pick,Red,2,10,2,2,9,13,118,10,8.68,10425
,,Gnar,Ban,Red,4,10,2,,,,,,0,
,,Vi,Ban,Blue,4,10,2,,,,,,0,
,,Jarvan IV,Ban,Red,5,10,2,,,,,,0,
,,Gangplank,Ban,Blue,5,10,2,,,,,,0,
Jason,Jungle,Nocturne,Pick,Red,3,10,2,5,4,22,290,44,57.1,25303
Basil,Top,Aatrox,Pick,Blue,3,10,2,5,10,4,256,30,2.06,16780
Jason Canto,Bottom,Varus,Pick,Blue,3,10,2,5,7,9,230,26,20.6,29014
Cobi,Top,Urgot,Pick,Red,4,10,2,14,7,12,270,28,63.1,41948
,,,,,,,,,,,,,,
,,Briar,Ban,Blue,1,10,3,,,,,,0,
,,Blitzcrank,Ban,Red,1,10,3,,,,,,0,
,,Ezreal,Ban,Blue,2,10,3,,,,,,0,
,,Singed,Ban,Red,2,10,3,,,,,,0,
,,K'Sante,Ban,Blue,3,10,3,,,,,,0,
,,Nocturne,Ban,Red,3,10,3,,,,,,0,
Woosung,Support,Alistar,Pick,Blue,1,10,3,1,6,4,32,45,-3.43,4990
Quio,Top,Jax,Pick,Red,1,10,3,9,4,4,184,17,34.69,24421
Basil,Mid,Riven,Pick,Red,1,10,3,7,0,3,184,24,37.04,12839
Cobi,Top,Garen,Pick,Blue,2,10,3,5,5,1,207,17,9.92,14760
Anthony,Bottom,Kalista,Pick,Blue,2,10,3,2,8,4,169,18,-5.41,9600
Sam,Support,Rell,Pick,Red,2,10,3,3,3,19,32,51,43.87,6273
,,Vi,Ban,Red,4,10,3,,,,,,0,
,,Syndra,Ban,Blue,4,10,3,,,,,,0,
,,Jarvan IV,Ban,Red,5,10,3,,,,,,0,
,,Orianna,Ban,Blue,5,10,3,,,,,,0,
Jason Canto,Bottom,Caitlyn,Pick,Red,3,10,3,7,2,12,174,16,48.54,18447
Miggy,Mid,Vex,Pick,Blue,3,10,3,1,6,1,139,7,-10.26,11903
Jason,Jungle,Kayn,Pick,Blue,3,10,3,2,8,1,151,26,-11.19,5858
Wilfred,Jungle,Lillia,Pick,Red,4,10,3,7,2,10,266,15,45.41,21783
