Player,Champion,Pick Ban,Blue Red,Order,Series #,Game #,Kills,Death,Assists,CS,Vision Score,Fantasy Score,Damage Dealt
Cobi,Blitzcrank,Pick,Blue,2,2,1,0,5,18,34,45,23.59,8616
Sam,Swain,Pick,Blue,2,2,1,4,1,11,224,33,38.89,24000
Sean,Amumu,Pick,Red,2,2,1,5,8,6,243,41,12.48,16065
,Nocturne,Ban,Red,4,2,1,,,,,,0,
,Trundle,Ban,Blue,4,2,1,,,,,,0,
,Gnar,Ban,Red,5,2,1,,,,,,0,
,Cho'gath,Ban,Red,5,2,1,,,,,,0,
Eunice,Thresh,Pick,Red,3,2,1,2,6,14,57,113,24.22,10752
Basil,Kindred,Pick,Blue,3,2,1,13,2,14,277,37,78.62,36150
Quio,Jax,Pick,Blue,3,2,1,5,4,14,223,37,40.08,20026
Chris,Dr. Mundo,Pick,Red,4,2,1,0,5,6,242,22,0.52,15580
,,,,,,,,,,,,,
,Gangplank,Ban,Blue,1,3,1,,,,,,0,
,Mordekaiser,Ban,Red,1,3,1,,,,,,0,
,Xin Zhao,Ban,Blue,2,3,1,,,,,,0,
,Kai'sa,Ban,Red,2,3,1,,,,,,0,
,Pantheon,Ban,Blue,3,3,1,,,,,,0,
,Vi,Ban,Red,3,3,1,,,,,,0,
Chris,Malphite,Pick,Blue,1,3,1,4,1,7,253,24,30.73,15618
Woosung,Fiora,Pick,Red,1,3,1,2,6,4,264,35,2.39,18918
Bwosley,Ahri,Pick,Red,1,3,1,3,8,2,206,35,-4.19,7294
Ryan,Morgana,Pick,Blue,2,3,1,4,2,13,28,86,40.58,13462
Eunice,Qiyana,Pick,Blue,2,3,1,3,5,13,217,39,27.12,19622
Miggy,Pyke,Pick,Red,2,3,1,2,7,3,36,39,-4.69,3695
,Tristana,Ban,Red,4,3,1,,,,,,0,
,Singed,Ban,Blue,4,3,1,,,,,,0,
,Amumu,Ban,Red,5,3,1,,,,,,0,
,Xayah,Ban,Red,5,3,1,,,,,,0,
Declan,Ezreal,Pick,Red,3,3,1,4,4,5,237,28,17.77,34645
Sean,Shyvana,Pick,Blue,3,3,1,10,4,5,340,27,42.75,35595
Hubert,Jhin,Pick,Blue,3,3,1,10,1,12,263,26,64.93,35167
Jason,Zac,Pick,Red,4,3,1,2,6,7,239,43,8.54,19648
,,,,,,,,,,,,,
,Malphite,Ban,Blue,1,1,2,,,,,,0,
,Jhin,Ban,Red,1,1,2,,,,,,0,
,Pantheon,Ban,Blue,2,1,2,,,,,,0,
,Riven,Ban,Red,2,1,2,,,,,,0,
,Xin Zhao,Ban,Blue,3,1,2,,,,,,0,
,Rengar,Ban,Red,3,1,2,,,,,,0,
Anthony,Jinx,Pick,Blue,1,1,2,13,2,6,206,27,61.41,22070
Jason,Ziggs,Pick,Red,1,1,2,1,7,4,177,17,-6.38,15655
Miggy,Seraphine,Pick,Red,1,1,2,0,8,3,7,17,-17.08,2689
Cobi,Blitzcrank,Pick,Blue,2,1,2,1,3,15,29,40,27.29,6400
Basil,Gnar,Pick,Blue,2,1,2,10,2,2,182,23,40.97,19933
Bwosley,Maokai,Pick,Red,2,1,2,1,3,1,173,17,-0.42,4454
,Yasuo,Ban,Red,4,1,2,,,,,,0,
,Jarvan IV,Ban,Blue,4,1,2,,,,,,0,
,N/A,Ban,Red,5,1,2,,,,,,0,
,Ashe,Ban,Blue,5,1,2,,,,,,0,
Woosung,Vi,Pick,Red,3,1,2,2,6,3,144,17,-1.71,8228
Quio,Diana,Pick,Blue,3,1,2,4,2,9,197,34,31.67,10610
Sam,Neeko,Pick,Blue,3,1,2,1,2,5,188,26,11.18,6032
Declan,Syndra,Pick,Red,4,1,2,7,5,1,159,26,17.89,12721
,,,,,,,,,,,,,
,Blitzcrank,Ban,Blue,1,2,2,,,,,,0,
,Malphite,Ban,Red,1,2,2,,,,,,0,
,Rengar,Ban,Blue,2,2,2,,,,,,0,
,Kai'sa,Ban,Red,2,2,2,,,,,,0,
,Riven,Ban,Blue,3,2,2,,,,,,0,
,Nami,Ban,Red,3,2,2,,,,,,0,
Hubert,Jhin,Pick,Blue,1,2,2,4,5,1,218,21,6.23,14818
Anthony,Jinx,Pick,Red,1,2,2,13,2,7,214,36,63.94,24510
Cobi,Leona,Pick,Red,1,2,2,0,4,14,34,44,18.54,3666
Meagan,Morgana,Pick,Blue,2,2,2,2,6,6,24,71,5.79,12410
Ryan,Udyr,Pick,Blue,2,2,2,2,9,1,167,23,-14.18,6718
Basil,Gnar,Pick,Red,2,2,2,3,1,8,242,42,29.52,20180
,Trundle,Ban,Red,4,2,2,,,,,,0,
,Diana,Ban,Blue,4,2,2,,,,,,0,
,Qiyana,Ban,Red,5,2,2,,,,,,0,
,Swain,Ban,Blue,5,2,2,,,,,,0,
Sam,Seraphine,Pick,Red,3,2,2,5,3,14,194,55,43.69,16004
Eunice,Ahri,Pick,Blue,3,2,2,4,4,3,221,34,13.91,18218
Chris,Gragas,Pick,Blue,3,2,2,0,3,1,169,30,-3.81,8056
Quio,Jarvan IV,Pick,Red,4,2,2,6,2,16,253,42,54.63,13892
,,,,,,,,,,,,,
,Malphite,Ban,Blue,1,4,1,,,,,,0,
,Jarvan IV,Ban,Red,1,4,1,,,,,,0,
,Rengar,Ban,Blue,2,4,1,,,,,,0,
,Trundle,Ban,Red,2,4,1,,,,,,0,
,Blitzcrank,Ban,Blue,3,4,1,,,,,,0,
,Xin Zhao,Ban,Red,3,4,1,,,,,,0,
Woosung,Lux,Pick,Blue,1,4,1,6,2,17,43,39,54.38,18662
Anthony,Kai'sa,Pick,Red,1,4,1,5,7,3,153,8,6.93,11996
Cobi,Leona,Pick,Red,1,4,1,0,10,7,24,16,-14.96,4766
Hubert,Jhin,Pick,Blue,2,4,1,9,1,13,158,13,61.23,15579
Declan,Vladimir,Pick,Blue,2,4,1,4,2,12,129,15,36.04,13705
Sam,Annie,Pick,Red,2,4,1,0,5,5,164,24,-2.16,13989
,Kled,Ban,Red,4,4,1,,,,,,0,
,Graves,Ban,Blue,4,4,1,,,,,,0,
,Fiora,Ban,Red,5,4,1,,,,,,0,
,Garen,Ban,Blue,5,4,1,,,,,,0,
Chris,Kennen,Pick,Red,3,4,1,2,3,1,158,14,3.28,12632
Hunter,Ornn,Pick,Blue,3,4,1,3,3,5,87,16,14.67,10080
Jordan,Hecarim,Pick,Blue,3,4,1,9,2,10,213,36,53.93,8056
Quio,Sejuani,Pick,Red,4,4,1,2,6,3,109,26,-1.61,7696
,,,,,,,,,,,,,
,Malphite,Ban,Blue,1,4,2,,,,,,0,
,Blitzcrank,Ban,Red,1,4,2,,,,,,0,
,Rengar,Ban,Blue,2,4,2,,,,,,0,
,Graves,Ban,Red,2,4,2,,,,,,0,
,Trundle,Ban,Blue,3,4,2,,,,,,0,
,Nautilus,Ban,Red,3,4,2,,,,,,0,
Anthony,Jhin,Pick,Blue,1,4,2,3,1,6,109,10,22.59,7970
Hubert,Ezreal,Pick,Red,1,4,2,2,3,3,106,5,6.31,7910
Hunter,Leona,Pick,Red,1,4,2,0,3,5,23,8,1.63,3741
Chris,Alistar,Pick,Blue,2,4,2,0,3,3,22,14,-2.08,3019
Quio,Xerath,Pick,Blue,2,4,2,9,0,5,136,8,47.76,14273
Declan,Anivia,Pick,Red,2,4,2,0,3,0,136,7,-7.29,1126
,Vladimir,Ban,Red,4,4,2,,,,,,0,
,Hecarim,Ban,Blue,4,4,2,,,,,,0,
,Dr. Mundo,Ban,Red,5,4,2,,,,,,0,
,Kled,Ban,Blue,5,4,2,,,,,,0,
Woosung,Xin Zhao,Pick,Red,3,4,2,3,3,0,110,14,4.8,6413
Sam,Amumu,Pick,Blue,3,4,2,2,1,9,86,20,24.86,5322
Cobi,Garen,Pick,Blue,3,4,2,4,3,1,105,36,11.85,9582
Jordan,Jarvan IV,Pick,Red,4,4,2,3,6,4,109,16,3.89,8380
,,,,,,,,,,,,,
,Sion,Ban,Blue,1,4,3,,,,,,0,
,Malphite,Ban,Red,1,4,3,,,,,,0,
,Blitzcrank,Ban,Blue,2,4,3,,,,,,0,
,Rengar,Ban,Red,2,4,3,,,,,,0,
,Graves,Ban,Blue,3,4,3,,,,,,0,
,Hecarim,Ban,Red,3,4,3,,,,,,0,
Jordan,Draven,Pick,Blue,1,4,3,14,3,8,247,27,66.82,33130
Sam,Amumu,Pick,Red,1,4,3,7,6,9,179,33,31.44,24843
Chris,Nautilus,Pick,Red,1,4,3,2,5,7,57,56,10.37,9921
Woosung,Alistar,Pick,Blue,2,4,3,0,6,22,43,55,29.18,8899
Hubert,Sejuani,Pick,Blue,2,4,3,2,4,21,196,33,41.61,12926
Quio,Ezreal,Pick,Red,2,4,3,2,7,9,240,25,8.65,23864
,Illaoi,Ban,Red,4,4,3,,,,,,0,
,Akali,Ban,Blue,4,4,3,,,,,,0,
,Vladimir,Ban,Red,5,4,3,,,,,,0,
,Urgot,Ban,Blue,5,4,3,,,,,,0,
Anthony,Tristana,Pick,Red,3,4,3,5,8,5,206,24,9.26,20907
Hunter,Garen,Pick,Blue,3,4,3,6,4,2,222,27,19.57,21084
Declan,Syndra,Pick,Blue,3,4,3,10,5,10,189,23,48.04,26618
Mordekaiser,Cobi,Pick,Red,4,4,3,6,6,7,196,10,22.46,27059
